# command: python projection_resampling_Abx.py multiTnSeq_Abx_3b_counts_TTR.txt Abx_3b_samples_metadata_all.txt H37Rv3.prot_table multiTnSeq_Abx_3b_varimax_loadings.txt michelles_list.txt
ORF	gene	numTAs	pretreatment	untreated_d21	INH_wk1	RIF_wk1	EMB_wk1	PZA_wk1	HRZE_wk1	untreated_wk2	INH_wk2	RIF_wk2	EMB_wk2	untreated_wk5	INH_wk5	EMB_wk5	V1_mean	V2_mean	V3_mean	V4_mean	V5_mean	V6_mean	V1_LFC	V2_LFC	V3_LFC	V4_LFC	V5_LFC	V6_LFC	V1_padj	V2_padj	V3_padj	V4_padj	V5_padj	V6_padj
Rv0249c	-	23	3.1	3.6	3.4	12.7	6.2	2.7	8.9	1.4	3.4	12.0	9.1	3.3	19.1	5.3	6.7	3.7	5.5	12.1	7.3	5.7	-0.1	-0.8	-0.3	0.7	0.1	-0.2	0.979364	0.440343	0.856457	0.0612	0.974878	0.860738
Rv0270	fadD2	26	116.2	124.5	137.3	200.6	200.1	257.8	204.7	102.9	141.6	164.9	248.1	174.7	228.9	478.3	164.2	130.2	227.9	185.2	232.9	348.0	-0.5	-0.8	-0.0	-0.3	0.0	0.6	0.440343	0.201692	0.955053	0.762975	0.955053	0.015088
Rv0296c	-	43	124.3	96.4	72.5	101.6	72.8	65.5	123.0	105.0	72.4	130.2	69.6	66.3	66.2	48.7	73.6	102.6	89.7	113.6	71.3	72.5	-0.4	0.1	-0.1	0.2	-0.4	-0.4	0.7344	0.701139	0.99	0.397837	0.72	0.701139
Rv0353	hspR	6	18.6	13.9	15.9	11.0	29.0	7.3	23.6	14.1	6.6	4.0	19.2	0.9	0.0	10.6	7.5	14.4	14.1	7.7	22.5	13.3	-0.8	0.0	-0.0	-0.8	0.6	-0.1	0.778748	0.988505	0.992543	0.636476	0.494	1.0
Rv0381c	-	17	128.2	111.3	101.2	92.0	81.1	136.2	84.5	77.1	56.7	135.1	113.3	34.8	209.4	64.1	97.5	106.5	105.1	112.4	95.1	88.8	-0.1	0.0	-0.0	0.1	-0.2	-0.2	0.974878	0.974762	0.979364	0.947077	0.974878	0.927289
Rv0407	fgd1	20	21.4	17.1	18.0	15.8	20.3	7.0	6.2	18.3	18.4	15.4	22.4	33.5	28.2	13.8	22.7	19.4	9.2	15.9	20.6	16.6	0.2	-0.0	-1.0	-0.3	0.0	-0.3	0.502238	0.864893	0.142218	0.935385	0.80069	0.979364
Rv0436c	pssA	17	8.7	4.4	9.1	6.0	6.7	3.9	8.7	8.0	6.7	0.1	6.4	3.1	12.1	14.5	7.9	7.1	5.9	3.4	6.9	11.7	0.1	-0.1	-0.3	-1.0	-0.1	0.6	0.99	1.0	0.970366	0.755337	0.997053	0.612935
Rv0450c	mmpL4	84	30.1	25.2	25.6	8.7	24.4	25.6	30.3	16.6	21.2	16.9	13.1	26.8	33.0	6.0	25.6	24.0	27.4	13.1	18.7	13.7	0.0	-0.0	0.1	-0.9	-0.4	-0.8	0.315692	0.473538	0.118385	0.093273	0.918806	0.136102
Rv0465c	-	28	35.5	10.9	8.7	23.5	65.9	48.0	85.0	20.6	10.5	31.4	47.6	20.9	75.5	46.5	28.3	25.4	61.0	27.8	54.6	44.7	-0.8	-0.9	0.3	-0.8	0.1	-0.1	0.394615	0.240469	0.047354	0.379174	0.315692	0.914411
Rv0485	-	23	31.8	10.4	29.0	24.8	15.7	17.8	31.8	5.6	50.0	117.4	10.2	2.0	175.2	9.7	58.6	23.4	22.4	68.3	14.5	21.3	0.5	-0.8	-0.8	0.7	-1.4	-0.9	0.120064	0.514716	0.453253	0.02565	0.236143	0.453253
Rv0503c	cmaA2	21	789.8	906.4	744.8	1691.5	536.6	779.7	629.8	1003.3	626.6	3545.7	454.5	767.7	896.5	389.3	764.8	900.3	708.7	2506.9	527.9	599.5	-0.1	0.1	-0.2	1.6	-0.7	-0.5	0.582955	0.935385	0.524473	0.0	0.201692	0.348107
Rv0505c	serB1	21	7.3	3.1	0.2	0.7	4.6	4.5	0.6	1.2	3.4	4.0	3.8	0.1	0.0	7.9	1.1	3.5	2.6	2.3	4.3	6.7	-1.2	-0.1	-0.5	-0.6	0.1	0.6	0.524473	1.0	0.949475	0.895714	0.959763	0.391361
Rv0554	bpoC	14	98.1	127.5	463.2	173.1	417.3	177.9	226.7	83.5	240.0	259.4	433.9	124.0	417.6	300.2	300.6	134.2	201.1	217.3	400.6	270.0	0.1	-1.1	-0.5	-0.4	0.5	-0.1	0.778748	0.236143	0.7344	0.892174	0.107486	0.974878
Rv0643c	mmaA3	23	138.4	126.6	151.1	243.1	142.0	171.9	179.5	191.6	139.6	405.5	165.8	159.6	77.3	177.3	138.1	150.6	172.9	313.8	155.8	172.4	-0.3	-0.2	0.0	0.9	-0.1	-0.0	0.473538	0.623392	0.967674	0.007329	0.664317	0.951814
Rv0757	phoP	12	12.8	12.6	3.6	6.2	7.5	1.0	2.0	6.9	2.4	26.0	8.6	11.3	3.3	0.0	4.8	10.2	2.5	15.4	7.6	4.6	-0.8	0.2	-1.5	0.7	-0.2	-0.8	0.72	0.711544	0.315692	0.087943	1.0	0.664317
Rv0758	phoR	18	67.5	70.2	58.7	62.0	116.9	50.0	36.9	62.2	40.1	274.0	119.7	109.1	71.7	38.9	65.6	70.1	50.8	160.5	110.7	61.2	-0.5	-0.4	-0.8	0.8	0.3	-0.6	0.729698	0.778748	0.387479	0.022184	0.593554	0.593554
Rv0767c	-	14	141.3	83.7	14.4	47.7	93.2	41.1	96.4	122.1	10.4	98.5	77.7	180.1	7.9	74.4	51.4	107.3	75.8	72.5	84.6	88.5	-0.7	0.3	-0.2	-0.3	-0.0	0.0	0.524473	0.675953	0.979364	0.967674	0.992543	0.949475
Rv0805	-	18	16.3	6.7	2.4	5.7	31.1	26.1	29.3	12.9	6.7	2.0	29.3	13.4	9.0	50.5	8.5	12.5	26.4	4.6	30.0	37.2	-1.6	-1.1	-0.1	-2.4	0.1	0.4	0.391361	0.691953	0.72	0.174054	0.440343	0.107486
Rv0806c	cpsY	42	84.8	29.0	44.2	48.4	46.4	39.0	56.9	85.3	53.4	63.6	32.4	53.2	26.8	16.0	47.8	60.7	47.4	54.9	39.2	36.0	-0.1	0.2	-0.1	0.1	-0.4	-0.5	1.0	0.404182	1.0	0.762289	0.729698	0.494
Rv0818	-	11	184.1	492.4	359.0	194.4	205.4	240.0	267.1	178.7	323.1	110.2	332.6	161.2	534.3	1928.3	335.1	325.9	258.0	172.7	357.1	1225.8	-0.0	-0.1	-0.4	-1.0	0.0	1.8	0.974878	0.984312	0.895714	0.593554	0.99	0.149417
Rv0820	phoT	13	65.9	105.3	123.6	12.3	37.4	103.1	26.6	19.4	31.5	21.6	32.6	3.2	2.8	174.2	42.1	61.3	62.5	18.7	44.2	122.1	-0.5	-0.0	0.0	-1.7	-0.5	1.0	0.864893	0.997053	0.984777	0.387479	0.846186	0.120064
Rv0859	fadA	9	1.5	1.6	0.0	0.4	6.0	5.7	1.2	1.7	1.3	0.6	1.9	0.9	0.0	0.0	0.7	1.6	3.4	0.5	3.7	0.6	-1.0	-0.4	0.3	-1.2	0.4	-1.1	0.729698	0.997053	0.440343	0.603529	0.3762	0.612935
Rv0877	-	16	447.4	762.7	874.1	671.0	781.9	453.0	364.2	541.8	999.1	713.2	857.0	331.8	1420.5	4695.0	888.0	699.0	447.9	722.8	1012.9	2997.9	-0.1	-0.4	-1.1	-0.4	0.1	1.7	0.935385	0.7344	0.549643	0.762975	0.974878	0.015088
Rv0989c	grcC2	19	51.6	74.9	6.2	8.1	4.9	8.9	3.0	37.9	11.6	7.5	9.3	5.1	5.3	5.6	9.3	49.0	6.8	8.3	8.3	16.0	-0.4	1.9	-0.8	-0.5	-0.6	0.3	0.603529	0.0	0.473538	0.549643	0.502238	1.0
Rv0998	-	13	1.0	0.1	0.0	0.0	0.0	0.3	0.0	0.9	0.0	0.1	0.0	0.2	0.0	0.0	0.1	0.5	0.2	0.1	0.0	0.2	-0.1	0.4	-0.0	-0.2	-0.2	0.0	0.914411	0.120064	0.997053	0.793591	0.612935	0.970366
Rv1006	-	42	65.3	61.4	41.7	35.2	55.3	38.6	37.6	62.5	52.5	50.1	44.5	51.6	46.6	24.7	48.7	60.8	39.7	42.6	48.8	37.4	-0.0	0.3	-0.3	-0.2	0.0	-0.4	0.979364	0.440343	0.793591	0.970366	0.970366	0.72
Rv1099c	glpX	14	15.1	30.9	33.5	17.7	4.8	15.3	7.3	17.7	19.0	12.0	18.9	6.5	0.0	3.2	15.9	19.7	11.3	14.9	11.5	8.2	0.0	0.3	-0.4	-0.0	-0.4	-0.8	0.974762	0.860738	0.974878	0.984777	0.974878	0.838643
Rv1127c	ppdK	19	14.6	6.3	2.2	6.8	4.9	59.8	12.7	18.7	3.8	14.9	6.8	1.4	29.2	10.6	9.5	13.0	33.5	10.7	7.1	11.5	-0.3	0.1	1.4	-0.2	-0.7	-0.1	0.8775	0.99	0.494	0.955053	0.7344	0.974762
Rv1151c	-	10	293.3	213.5	402.0	357.9	520.2	519.9	324.0	242.4	470.8	437.0	502.8	300.7	430.4	1117.0	396.7	281.4	423.2	399.6	533.3	804.8	-0.3	-0.8	-0.2	-0.3	0.2	0.7	0.911302	0.440343	0.934075	0.944618	0.959763	0.163009
Rv1157c	-	9	98.9	94.0	87.2	91.2	65.8	98.0	78.6	97.8	94.2	105.8	92.1	109.4	169.8	158.9	110.5	100.4	90.5	99.0	84.3	133.9	0.1	-0.1	-0.2	-0.1	-0.3	0.3	0.997053	1.0	0.974762	0.997053	0.974762	0.951814
Rv1174c	TB8.4	9	303.5	232.8	175.1	88.2	225.3	209.2	204.2	193.5	178.8	25.0	165.2	248.2	200.5	186.6	196.3	235.1	210.0	64.2	196.6	204.9	-0.1	0.2	0.0	-1.7	-0.1	-0.0	0.974762	0.664317	0.951814	0.105165	0.970366	0.934075
Rv1183	mmpL10	53	100.5	104.4	39.6	72.1	52.6	51.7	57.3	71.1	23.3	107.9	46.3	42.1	30.3	37.7	36.4	85.5	53.5	87.8	50.0	54.7	-0.9	0.3	-0.4	0.3	-0.5	-0.4	0.107486	0.142218	0.80069	0.06498	0.549643	0.860738
Rv1184c	-	23	216.4	234.2	190.3	19.7	172.6	137.6	139.9	187.7	175.3	17.8	167.4	179.1	216.0	119.7	187.5	208.0	143.5	25.7	167.4	145.6	0.1	0.2	-0.3	-2.7	-0.1	-0.3	0.473538	0.22522	0.997053	0.0	0.814874	1.0
Rv1193	fadD36	21	0.6	0.3	0.0	0.6	2.3	0.8	0.7	0.5	0.1	1.0	2.1	0.1	2.5	2.1	0.6	0.6	0.7	0.8	2.1	1.7	-0.5	-0.5	-0.4	-0.3	0.4	0.2	0.711544	0.502238	0.762975	0.949475	0.157846	0.453253
Rv1205	-	14	76.6	128.9	73.1	51.2	83.6	97.6	36.1	66.2	87.7	140.0	108.5	43.9	148.5	460.0	86.2	99.5	70.5	96.6	114.6	305.4	-0.3	-0.1	-0.6	-0.1	0.1	1.5	0.838643	0.920382	0.636476	0.951814	0.974878	0.053132
Rv1206	fadD6	38	107.1	102.2	94.7	77.1	298.8	316.2	174.7	114.2	74.3	171.5	260.9	171.3	204.7	1206.7	130.2	135.1	248.0	131.6	321.3	770.2	-1.1	-1.1	-0.2	-1.1	0.2	1.4	0.315692	0.33345	0.951814	0.315692	0.944618	0.0
Rv1212c	glgA	32	251.1	296.6	229.8	279.1	222.1	26.2	53.6	278.5	243.0	282.2	297.3	246.1	334.3	264.3	256.4	276.0	64.8	280.4	254.6	260.7	-0.1	0.0	-2.0	0.1	-0.1	-0.0	0.955053	0.762289	0.08773	0.864893	0.955053	0.947077
Rv1213	glgC	31	88.9	92.3	52.1	56.7	50.0	53.0	20.5	68.9	59.9	33.0	59.4	56.2	180.4	44.2	81.6	84.8	40.2	46.9	54.9	57.3	0.2	0.3	-0.8	-0.6	-0.3	-0.3	0.514716	0.473538	0.535031	0.72	0.927289	0.984777
Rv1235	lpqY	30	40.3	19.8	23.2	23.3	20.0	18.6	43.1	15.1	23.1	20.3	15.0	13.1	6.9	6.0	18.0	22.9	28.3	21.6	17.3	16.0	-0.3	0.0	0.3	-0.0	-0.3	-0.5	0.900564	0.949475	0.453253	0.992543	0.860738	0.755337
Rv1244	lpqZ	8	164.6	237.7	114.1	44.4	92.6	63.9	45.2	165.3	110.9	27.7	101.7	82.7	98.5	61.5	105.6	177.8	60.4	39.7	96.5	88.3	0.1	0.8	-0.7	-1.3	-0.1	-0.2	0.955053	0.047354	0.514716	0.309205	1.0	0.99
Rv1272c	-	31	28.4	27.3	22.2	10.1	25.8	49.2	14.2	13.5	17.0	6.3	25.2	58.1	43.9	26.2	30.9	24.7	34.3	9.3	26.0	25.8	0.1	-0.2	0.3	-1.5	-0.1	-0.1	0.846186	1.0	0.701139	0.324684	0.997053	1.0
Rv1273c	-	32	24.9	20.8	21.6	1.2	28.0	27.5	12.4	9.3	13.1	1.3	17.7	13.2	12.1	16.4	14.8	17.8	19.9	1.9	22.3	17.7	-0.3	-0.1	0.1	-2.8	0.2	-0.1	0.984312	0.934075	0.755337	0.114	0.535031	0.974878
Rv1328	glgP	45	11.5	8.7	5.1	6.7	6.7	6.4	10.8	7.6	2.6	3.5	6.0	11.0	1.8	9.1	5.1	8.7	8.6	5.2	6.6	9.0	-0.7	0.0	-0.0	-0.6	-0.3	0.0	0.502238	0.612935	0.701139	0.612935	0.955053	0.473538
Rv1345	mbtM	23	26.1	21.7	194.5	94.8	160.6	50.7	32.3	13.2	71.0	80.0	175.0	31.8	182.6	131.7	112.7	34.7	45.1	88.4	157.0	110.3	0.0	-1.7	-1.3	-0.3	0.5	-0.0	0.636476	0.052233	0.114	0.984777	0.015088	0.745021
Rv1349	irtB	20	0.2	0.0	0.0	1.1	4.6	0.8	0.4	0.1	0.0	0.8	0.6	0.0	0.6	0.8	0.2	0.3	0.6	0.9	2.4	0.7	-0.6	-0.5	-0.2	0.1	0.9	-0.1	0.502238	0.72	0.974878	0.974878	0.43042	0.974878
Rv1356c	-	28	74.7	82.0	81.1	81.3	92.6	54.6	99.0	51.3	107.8	88.6	71.6	95.9	14.2	62.4	75.8	69.0	77.4	84.2	81.1	67.1	-0.1	-0.2	-0.0	0.1	0.0	-0.2	1.0	0.970366	1.0	0.951814	0.974878	0.949475
Rv1364c	-	33	21.8	15.4	13.0	9.0	11.5	13.7	20.1	32.9	13.0	8.6	15.6	19.1	44.5	4.1	22.0	23.1	16.7	9.2	13.3	10.7	0.2	0.2	-0.2	-1.0	-0.5	-0.8	0.453253	0.379174	0.997053	0.453253	0.918806	0.535031
Rv1445c	devB	10	17.5	16.2	2.7	3.5	16.6	5.2	64.9	7.2	16.4	28.6	13.2	17.4	12.1	33.8	13.1	14.3	31.3	15.7	16.1	27.7	-0.7	-0.6	0.5	-0.5	-0.4	0.3	0.955053	0.974762	0.772471	0.979364	0.974878	0.906698
Rv1492	mutA	17	100.5	131.9	89.4	85.5	71.4	76.1	144.3	123.5	66.6	50.3	80.4	107.5	76.4	28.7	87.3	113.7	106.7	69.3	74.8	55.7	-0.1	0.2	0.1	-0.5	-0.4	-0.8	0.984777	0.502238	0.7344	0.846186	0.959763	0.535031
Rv1538c	ansA	14	59.8	48.6	79.1	91.2	117.4	103.7	158.3	37.2	61.4	254.8	103.8	60.7	115.9	57.4	78.5	55.7	122.2	166.2	106.3	72.4	-0.5	-1.0	0.1	0.5	-0.1	-0.6	0.72	0.37257	0.790714	0.088735	0.974878	0.675953
Rv1543	-	15	73.7	103.8	16.8	8.0	58.4	32.1	42.0	74.8	7.1	4.8	22.8	88.4	24.9	32.2	33.2	79.2	41.3	8.5	41.6	39.5	-0.3	0.9	-0.0	-2.2	0.0	-0.1	0.846186	0.004275	1.0	0.047354	0.997053	1.0
Rv1589	bioB	11	25.4	30.8	27.5	22.2	41.1	73.0	46.1	29.5	29.7	23.9	33.1	33.5	25.7	21.7	29.5	29.0	57.2	23.3	36.5	24.7	-0.2	-0.2	0.8	-0.5	0.1	-0.4	0.988505	0.970366	0.568338	0.920382	0.99	0.927289
Rv1592c	-	25	20.4	14.4	22.8	6.7	11.2	36.7	36.2	14.6	16.6	13.5	12.2	29.7	17.8	12.7	21.1	16.5	34.8	10.3	12.6	15.1	0.2	-0.2	0.9	-0.8	-0.5	-0.3	0.892174	0.935385	0.010614	0.309205	0.502238	0.793591
Rv1626	-	5	21.7	15.0	39.9	44.9	117.1	12.8	12.5	9.8	18.7	42.4	125.6	10.2	74.6	83.2	33.7	21.8	15.8	44.2	111.4	70.2	-0.7	-1.4	-1.8	-0.4	0.9	0.3	0.856457	0.568338	0.387479	0.974878	0.073744	0.612935
Rv1635c	-	33	192.5	193.4	173.4	185.4	147.3	157.4	229.7	170.6	159.2	218.6	141.6	186.2	169.6	89.9	172.3	182.5	189.0	199.7	144.4	128.1	-0.1	-0.0	0.0	0.1	-0.4	-0.5	0.996117	0.88276	0.72	0.524473	0.623392	0.315692
Rv1701	-	15	2.6	3.3	4.8	1.7	0.5	1.0	2.9	0.2	1.2	2.1	2.9	0.0	0.0	0.0	1.6	1.9	1.7	1.9	1.5	1.1	-0.1	0.0	-0.0	0.1	-0.1	-0.4	1.0	0.974762	0.992543	0.974762	0.997053	0.911302
Rv1747	-	34	306.7	310.2	139.7	249.1	222.1	236.4	197.7	259.1	120.0	230.1	202.8	180.4	117.8	178.4	147.0	274.9	215.5	238.3	211.6	209.7	-0.6	0.3	-0.1	0.1	-0.1	-0.1	0.275087	0.3888	1.0	0.88276	0.997053	0.997053
Rv1770	-	17	309.7	347.8	327.5	278.4	291.1	143.6	319.2	223.7	270.9	352.4	267.6	286.5	247.0	323.3	281.0	293.8	234.1	313.3	281.5	312.7	-0.1	-0.0	-0.4	0.0	-0.1	0.0	0.997053	1.0	0.729698	0.860738	1.0	0.920382
Rv1785c	cyp143	22	57.2	34.6	41.5	56.2	42.1	44.6	43.8	55.6	50.7	60.0	45.3	8.7	20.1	39.4	34.7	45.9	41.5	56.9	43.2	44.4	-0.4	0.0	-0.1	0.3	-0.1	-0.0	0.762975	0.997053	0.974878	0.72	1.0	1.0
Rv1798	eccA5	31	4.1	5.2	3.1	3.7	6.6	5.6	1.5	3.1	3.4	4.6	2.8	8.7	1.5	4.7	3.8	4.2	4.1	4.2	4.8	4.2	-0.1	0.0	-0.0	-0.0	0.2	-0.0	0.974878	1.0	1.0	1.0	0.974762	1.0
Rv1823	-	16	50.3	42.7	20.5	30.7	42.3	85.7	53.4	42.1	35.0	26.0	41.1	45.8	1.8	16.6	27.6	42.1	67.1	28.5	40.8	27.7	-0.6	0.0	0.7	-0.5	-0.0	-0.6	0.745021	0.974878	0.22522	0.701139	0.984777	0.691953
Rv1829	-	10	24.0	23.4	15.0	16.2	34.7	4.5	23.4	5.4	10.7	8.6	25.5	10.4	17.0	9.2	13.1	17.6	13.7	12.8	27.9	14.7	-0.3	0.1	-0.2	-0.3	0.8	-0.1	0.920382	0.996117	0.955053	0.892174	0.370983	0.974762
Rv1901	cinA	19	513.8	668.7	41.1	585.9	475.6	460.1	337.0	561.2	25.9	558.6	628.7	472.1	18.2	596.3	154.9	546.7	411.9	566.7	540.9	557.2	-1.8	-0.0	-0.4	0.0	-0.0	0.0	0.107486	0.833852	0.955053	0.762289	0.864893	0.790714
Rv1925	fadD31	40	126.4	132.0	140.8	50.7	133.6	88.8	101.1	99.8	216.6	62.7	91.7	105.3	398.1	219.2	204.1	134.4	97.9	62.0	120.8	179.0	0.4	-0.2	-0.7	-1.3	-0.4	0.2	0.391361	1.0	0.755337	0.413463	0.974762	0.593554
Rv2004c	-	25	39.7	23.8	21.4	21.3	19.0	13.2	22.6	15.2	20.4	6.8	21.8	15.6	20.6	17.6	19.5	24.7	17.6	14.6	20.1	22.7	-0.1	0.2	-0.3	-0.5	-0.1	0.1	1.0	0.762975	0.955053	0.711544	1.0	0.949475
Rv2043c	pncA	11	893.8	865.7	2497.1	514.6	612.5	8246.9	4888.1	816.4	651.8	676.6	1071.5	5174.6	2115.1	1404.7	2340.4	1035.2	6275.7	650.8	1040.8	1356.1	0.3	-0.8	1.8	-1.5	-0.8	-0.4	0.974878	0.524473	0.0	0.278486	0.453253	0.778748
Rv2048c	pks12	148	15.0	9.2	4.3	10.2	10.5	7.7	7.2	9.2	6.5	15.2	8.6	8.1	7.2	5.2	6.6	10.6	7.6	12.4	9.3	8.0	-0.5	0.1	-0.3	0.3	-0.1	-0.3	0.163009	0.514716	0.549643	0.040612	0.984312	0.7344
Rv2061c	-	7	162.2	106.3	143.1	128.2	86.6	81.3	46.2	104.6	144.6	179.2	107.9	86.8	6.6	100.3	99.9	115.6	68.4	150.0	97.7	113.8	-0.2	0.0	-0.7	0.4	-0.2	-0.0	0.974878	0.970366	0.568338	0.524473	0.967674	0.979364
Rv2069	sigC	9	49.7	18.7	66.9	11.0	21.5	27.3	6.9	15.0	151.3	21.9	26.8	1.5	508.7	13.3	163.9	49.0	17.5	20.3	26.4	32.4	2.0	0.3	-1.2	-1.0	-0.6	-0.3	0.015088	1.0	0.549643	0.603529	0.664317	0.846186
Rv2140c	TB18.6	12	3.7	5.3	1.2	3.4	2.9	0.7	0.4	1.4	0.3	2.7	1.7	0.0	0.0	0.5	0.5	3.1	0.6	3.0	2.2	1.4	-1.2	0.2	-1.2	0.2	-0.2	-0.6	0.524473	0.421574	0.502238	0.535031	0.974762	0.955053
Rv2183c	-	6	15.6	23.5	21.0	7.5	29.4	8.3	12.7	23.1	0.0	21.0	9.0	23.7	0.0	128.9	11.4	21.6	12.5	14.9	25.1	80.8	-1.0	-0.1	-0.9	-0.6	0.1	1.7	0.80069	0.974762	0.778748	0.833852	0.997053	0.254512
Rv2190c	-	20	20.6	15.7	6.3	4.3	7.7	7.4	2.6	17.3	11.4	0.4	4.9	17.2	8.0	3.9	10.6	16.5	6.2	2.7	6.6	7.6	0.2	0.8	-0.5	-1.4	-0.4	-0.2	0.838643	0.064342	0.762289	0.174054	0.860738	0.974878
Rv2210c	ilvE	23	3.2	15.1	2.4	4.1	2.9	2.1	1.3	1.6	3.9	7.0	2.3	0.1	3.3	0.2	2.5	6.5	1.8	5.5	2.6	1.4	-0.5	0.6	-0.9	0.4	-0.5	-1.1	0.974878	0.524473	0.955053	0.838643	0.974762	0.790714
Rv2214c	ephD	32	131.2	103.8	192.1	307.7	154.8	222.2	238.1	128.3	109.2	340.2	131.8	234.5	150.4	153.4	165.7	127.7	225.4	316.5	147.1	154.8	-0.2	-0.6	0.2	0.7	-0.4	-0.3	0.793591	0.309205	0.675953	0.0	0.440343	0.612935
Rv2224c	caeA	30	24.6	23.5	18.2	8.1	7.7	16.0	10.8	12.9	28.6	10.1	11.1	9.3	12.1	6.8	17.6	19.2	13.3	9.2	9.8	11.5	0.2	0.3	-0.2	-0.7	-0.6	-0.4	0.623392	0.440343	1.0	0.711544	0.691953	0.918806
Rv2241	aceE	58	2.6	1.7	0.4	0.6	4.9	1.0	0.8	1.2	0.9	1.0	1.9	2.5	0.2	4.9	0.9	1.9	1.1	0.8	3.4	3.7	-0.9	-0.3	-0.8	-1.0	0.3	0.4	0.524473	0.984312	0.7344	0.612935	0.436909	0.278486
Rv2344c	dgt	27	45.7	27.6	33.1	20.0	33.5	52.1	27.2	19.0	19.6	33.0	28.8	59.6	9.1	35.9	28.1	29.9	41.3	26.5	31.8	36.2	-0.3	-0.2	0.3	-0.4	-0.1	0.1	0.920382	0.974762	0.623392	0.762975	1.0	0.935385
